Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
305,James Goodnight,$7.4 B,up arrow,80.0,United States,Software,Technology,7.4
305,Sri Prakash Lohia,$7.4 B,up arrow,70.0,Indonesia,Petrochemicals,Manufacturing,7.4
305,Ma Jianrong,$7.4 B,down arrow,59.0,China,"Textiles, apparel",Fashion & Retail,7.4
305,Robert Ng,$7.4 B,,71.0,Singapore,Real estate,Real Estate,7.4
305,Steven Rales,$7.4 B,down arrow,72.0,United States,"Manufacturing, investments",Manufacturing,7.4
305,Nassef Sawiris,$7.4 B,down arrow,62.0,Egypt,"Construction, investments",Construction & Engineering,7.4
305,Harry Stine,$7.4 B,up arrow,81.0,United States,Agriculture,Food & Beverage,7.4
312,Benu Gopal Bangur,$7.3 B,up arrow,91.0,India,Cement,Manufacturing,7.3
312,Iskander Makhmudov,$7.3 B,up arrow,59.0,Russia,"Mining, metals, machinery",Metals & Mining,7.3
312,Anders Holch Povlsen,$7.3 B,down arrow,50.0,Denmark,Fashion retail,Fashion & Retail,7.3
312,Enrique Razon Jr.,$7.3 B,up arrow,63.0,Philippines,Ports,Logistics,7.3
312,Wang Laichun,$7.3 B,down arrow,55.0,Hong Kong,Electronics components,Technology,7.3
317,Arthur Dantchik,$7.2 B,new to list,65.0,United States,"Trading, investments",Finance & Investments,7.2
317,Terry Gou,$7.2 B,up arrow,72.0,Taiwan,Electronics,Technology,7.2
317,Jeff Greene,$7.2 B,up arrow,68.0,United States,"Real estate, investments",Real Estate,7.2
317,Don Hankey,$7.2 B,up arrow,79.0,United States,Auto loans,Finance & Investments,7.2
317,Richard Kinder,$7.2 B,down arrow,78.0,United States,Pipelines,Energy,7.2
317,Guillaume Pousaz,$7.2 B,down arrow,41.0,Switzerland,Fintech,Finance & Investments,7.2
317,Takahisa Takahara,$7.2 B,up arrow,61.0,Japan,Personal care goods,Fashion & Retail,7.2
317,Zong Qinghou,$7.2 B,down arrow,77.0,China,Beverages,Food & Beverage,7.2
325,Judy Faulkner,$7.1 B,up arrow,79.0,United States,Healthcare software,Technology,7.1
325,Johann Graf,$7.1 B,up arrow,76.0,Austria,Gambling,Gambling & Casinos,7.1
325,Tamara Gustavson,$7.1 B,down arrow,61.0,United States,Self storage,Service,7.1
325,Liang Wengen,$7.1 B,down arrow,66.0,China,Construction equipment,Manufacturing,7.1
325,Frederik Paulsen,$7.1 B,down arrow,72.0,Sweden,Health care,Healthcare,7.1
325,Wee Cho Yaw,$7.1 B,down arrow,94.0,Singapore,Banking,Finance & Investments,7.1
325,Zhang Hejun,$7.1 B,up arrow,71.0,China,Electronics,Manufacturing,7.1
332,Marc Benioff,$7 B,down arrow,58.0,United States,Business software,Technology,7.0
332,Dmitri Bukhman,$7 B,down arrow,37.0,Israel,Online games,Media & Entertainment,7.0
332,Igor Bukhman,$7 B,down arrow,41.0,Israel,Online games,Media & Entertainment,7.0
332,Jack Dangermond,$7 B,up arrow,77.0,United States,Mapping software,Technology,7.0
332,Ashwin Dani & family,$7 B,down arrow,80.0,India,Paints,Manufacturing,7.0
332,Ralph Lauren,$7 B,up arrow,83.0,United States,Apparel,Fashion & Retail,7.0
